stakingProvider,amount,amountDeauthorizing,relativeAmount,endDeauth,endCommitment,commitment,minDeauthDate
0x3b8feb29efb63a7609d5351b3a6addaed3c1c7ed,15705834,0,0.6572,,,No,2025-07-31 14:07:14
0xc8c36fa036244658920bc78d316efa4c9d98f306,14628281,14628281,0.6121,2025-05-21 11:41:47,2024-04-15 13:15:59,Expired,2025-05-21 11:41:47
0x5f24a56620e8ab22ff01585f83f6f63f8b5c205e,13000000,0,0.544,,,No,2025-07-31 14:07:14
0xb70c8d55d397aa5d76f96c64b3e4084db95c739e,12973707,12973707,0.5429,2025-04-21 15:14:23,,No,2025-04-21 15:14:23
0xd6fc4e95e0622ddedad3289df7873d8136645e8d,11396394,0,0.4769,,,No,2025-07-31 14:07:14
0xa7baca5a92842689359fb1782e75d6eff59152e6,11000000,0,0.4603,,,No,2025-07-31 14:07:14
0x4fd06c3b1abf62bbcc395745224591c89ebceea8,10000000,9959000,0.4185,,,No,2025-07-31 14:07:14
0x422fcafa2f3e23b52ac34e6a94909467480155af,10000000,9959000,0.4185,,,No,2025-07-31 14:07:14
0xf9283ac13aec8a2b60a56a82f1f5e4da1742ccf8,9000000,0,0.3766,,2025-06-14 17:27:59,Active,2025-12-13 17:27:59
0xfd771e3e34a93e19caad4c11c3be16c70d5ec2fd,8878009,0,0.3715,,,No,2025-07-31 14:07:14
0x095086293d57c5ad45f3f5243054ae199b005163,8000000,0,0.3348,,,No,2025-07-31 14:07:14
0x25d9bbb4eccbf3a5e6d6bbce9813302e508f321d,7881920,0,0.3298,,,No,2025-07-31 14:07:14
0xe4a3492c8b085ab5edb6fdae329f172056f6b04e,7120496,0,0.298,,,No,2025-07-31 14:07:14
0xa829c2e33907ab03d27d5dbb39effd8386112789,6996632,0,0.2928,,2024-04-15 18:14:35,Expired,2025-07-31 14:07:14
0xd6edf0bc0c19f87ecef67632bfcd212ce8324ab9,6655083,0,0.2785,,,No,2025-07-31 14:07:14
0xd680b01503cf95a489010da7409980060991d096,6430423,4000000,0.2691,,,No,2025-07-31 14:07:14
0xfca99f5b5ecf19343e309d8dbe79f15a0a389769,6292975,4292975,0.2633,,,No,2025-07-31 14:07:14
