stakingProvider,amount,relativeAmount,minDeauthDate,commitment,ritual34?,ritual40?
0xda08c16c86b78cd56cb10fdc0370efc549d8638b,36000000,0.0151,2025-06-05 15:42:47,Expired,True,False
0xc0b851dcbf00ba59d8b1f490af93dec4275cffcc,36000000,0.0151,2025-06-05 15:41:47,Expired,False,False
0xb78f9efe4f713feefcab466d2ee41972a0e45205,36000000,0.0151,2025-06-05 15:39:11,Expired,False,False
0xb88a62417eb9e6320af7620be0cfbe2dddd435a5,36000000,0.0151,2025-06-05 15:40:11,Expired,False,False
0x372626ff774573e82eb7d4545ee96f68f75aaff6,36000000,0.0151,2025-06-05 15:40:59,Expired,False,False
0xf2962794ebe69fc88f8db441c1cd13b9f90b1fe7,32061176,0.0134,2026-01-06 06:25:35,Active,False,False
0x58f197d2647c1f45d7308fd20157aaeaf5040faa,31382607,0.0131,2025-07-31 16:09:56,No,False,False
0x6dee1fd2b29e2214a4f9ab9ba5f3d17c8cb56d11,31382607,0.0131,2025-07-31 16:09:56,No,False,False
0x5838636dcdd92113998fecbcdedf5b0d8beb4920,31382607,0.0131,2025-07-31 16:09:56,No,True,False
0xb42543aa1c4a75e1b317b752b82e64513989fea6,31382607,0.0131,2025-07-31 16:09:56,No,False,False
0xaafc71044c2b832dddfcedb0ae99695b0367dc57,31382607,0.0131,2025-07-31 16:09:56,No,False,False
0x6184c57b7b87ebbf7fa9eb6933682a781777f81d,31382607,0.0131,2025-07-31 16:09:56,No,False,False
0xf4f55133da27351844792c19d0c85c57f45cbad6,31382607,0.0131,2025-07-31 16:09:56,No,False,False
0x24a278d2873879dcc8a17f504a75bffcd4a3153a,31382607,0.0131,2025-07-31 16:09:56,No,False,False
0xed2a484d48f7782047c2de930d236ef2a18ee195,31382607,0.0131,2025-07-31 16:09:56,No,False,False
0x1274b1fb60bdb94a4dddcac9c918930cafc95078,31382607,0.0131,2025-07-31 16:09:56,No,False,False
0x885fa88126955d5cfe0170a134e0300b8d3eff47,30000000,0.0126,2025-07-31 16:09:56,No,False,False
0x9aa35dce841a43693cde23b86c394e1aefb61c65,30000000,0.0126,2025-07-31 16:09:56,No,False,True
0x43e17eecac8812b8e96e89b6075c5de63680d194,29459661,0.0123,2026-01-08 03:57:35,Active,False,False
0x00aca6dfd2fbcad074a5f116bad0b057900230d9,25168853,0.0105,2025-07-31 16:09:56,No,False,False
0xa6e3a08fae33898fc31c4f6c7a584827d809352d,21342500,0.0089,2025-07-31 16:09:56,Expired,True,False
0xc1268db05e7bd38bd85b2c3fef80f8968a2c933a,20000000,0.0084,2026-01-12 16:10:23,Active,True,False
0x97d065b567cc4543d20dffaa7009f9ade64d7e26,20000000,0.0084,2026-01-12 16:11:11,Active,True,True
0xdc09db6e5da859edeb7fc7bdcf47545056dc35f7,20000000,0.0084,2025-06-05 15:45:11,Expired,False,False
0x735dcf0caf62cd1bc8e763e43bb1aa11dbc56025,15743803,0.0066,2025-07-31 16:09:56,No,True,True
0x3b8feb29efb63a7609d5351b3a6addaed3c1c7ed,15705834,0.0066,2025-07-31 16:09:56,No,False,False
0xc8c36fa036244658920bc78d316efa4c9d98f306,14628281,0.0061,2025-05-21 11:41:47,Expired,False,False
0x5f24a56620e8ab22ff01585f83f6f63f8b5c205e,13000000,0.0054,2025-07-31 16:09:56,No,False,False
0xb70c8d55d397aa5d76f96c64b3e4084db95c739e,12973707,0.0054,2025-04-21 15:14:23,No,False,False
0xd6fc4e95e0622ddedad3289df7873d8136645e8d,11396394,0.0048,2025-07-31 16:09:56,No,False,False
0xa7baca5a92842689359fb1782e75d6eff59152e6,11000000,0.0046,2025-07-31 16:09:56,No,True,True
0x4fd06c3b1abf62bbcc395745224591c89ebceea8,10000000,0.0042,2025-07-31 16:09:56,No,False,True
0x422fcafa2f3e23b52ac34e6a94909467480155af,10000000,0.0042,2025-07-31 16:09:56,No,True,False
0xf9283ac13aec8a2b60a56a82f1f5e4da1742ccf8,9000000,0.0038,2025-12-13 17:27:59,Active,False,False
0xfd771e3e34a93e19caad4c11c3be16c70d5ec2fd,8878009,0.0037,2025-07-31 16:09:56,No,True,True
0x095086293d57c5ad45f3f5243054ae199b005163,8000000,0.0033,2025-07-31 16:09:56,No,True,False
0x25d9bbb4eccbf3a5e6d6bbce9813302e508f321d,7881920,0.0033,2025-07-31 16:09:56,No,False,False
